subject_index,color,Game_theoretic_value,Confirmed,0_pieces,1_pieces,value_Zeyan ,confirmed_Zeyan
0,0,-1,1,25786630144,532568,-1,1
1,1,-1,1,25786630176,532568,-1,1
0,0,1,1,25786630176,8921176,1,1
1,1,1,1,30081597472,8921176,1,1
0,0,1,1,30081597472,2156404824,1,1
1,0,0,0,0,0,0,0
0,1,0,0,32768,0,0,0
1,0,0,0,32768,2097152,0,0
0,1,0,0,2147516416,2097152,0,0
1,0,0,0,2147516416,3145728,0,0
0,1,0,0,2151710720,3145728,1,1
1,0,0,0,2151710720,3153920,1,1
0,1,0,0,2688581632,3153920,0,0
1,0,0,0,2688581632,1076895744,0,0
0,1,-1,1,2689105920,1076895744,-1,1
1,0,-1,1,2689105920,1076899840,-1,1
0,1,-1,1,2689105928,1076899840,-1,1
1,0,-1,1,2689105928,1076901888,-1,1
0,1,-1,1,2689106952,1076901888,-1,1
2,0,0,0,0,0,0,0
3,1,0,0,8388608,0,0,0
2,0,0,0,8388608,16384,0,0
3,1,0,0,8421376,16384,0,0
2,0,0,0,8421376,4210688,0,0
3,1,0,0,8421440,4210688,0,0
2,0,0,0,8421440,20987904,1,1
3,1,0,0,8421456,20987904,0,0
2,0,1,1,8421456,20992000,1,1
3,1,0,0,8429648,20992000,1,1
2,0,1,1,8429648,20992004,1,1
3,1,1,1,4303396944,20992004,1,1
2,0,1,1,4303396944,20992012,1,1
3,1,0,0,4303396946,20992012,0,1
2,0,0,0,4303396946,23089164,0,1
3,1,0,0,5377138770,23089164,0,1
2,0,0,0,5377138770,24137740,0,1
3,1,0,0,5377663058,24137740,0,1
2,0,1,1,5377663058,24139788,1,1
3,1,1,1,5914533970,24139788,1,1
2,0,1,1,5914533970,2171623436,1,1
3,1,0,0,5914534994,2171623436,0,1
2,0,0,0,5914534994,2440058892,0,1
3,1,0,0,5914535506,2440058892,0,1
2,0,0,0,5914535506,2440321036,0,1
3,1,0,1,5948089938,2440321036,0,1
2,0,1,1,5948089938,2507429900,1,1
3,1,0,1,40307828306,2507429900,0,1
2,0,0,1,40307828306,2507429932,0,1
3,1,0,1,40307959378,2507429932,0,1
2,0,0,1,40307959378,2507495468,0,1
3,1,0,1,48897893970,2507495468,0,1
2,0,0,1,48897893970,19687364652,0,1
3,1,0,1,48897894098,19687364652,0,1
3,0,0,0,0,0,0,0
2,1,0,0,4194304,0,0,0
3,0,0,0,4194304,8192,0,0
2,1,0,0,138412032,8192,0,0
3,0,0,0,138412032,536879104,0,0
2,1,0,0,34498150400,536879104,-1,1
3,0,0,0,34498150400,536879136,0,0
2,1,0,0,34500247552,536879136,0,0
3,0,0,0,34500247552,537927712,0,0
2,1,-1,1,34517024768,537927712,-1,1
3,0,0,0,34517024768,546316320,-1,1
2,1,-1,1,34517024776,546316320,-1,1
3,0,0,0,34517024776,546320416,1,1
2,1,-1,1,34517041160,546320416,-1,1
3,0,1,1,34517041160,546320480,1,1
2,1,1,1,34517043208,546320480,1,1
3,0,1,1,34517043208,2693804128,1,1
2,1,1,1,34517043224,2693804128,1,1
3,0,1,1,34517043224,2694328416,1,1
2,1,-1,1,34517043225,2694328416,-1,1
3,0,1,1,34517043225,2694328418,1,1
2,1,-1,1,34517044249,2694328418,-1,1
3,0,1,1,34517044249,2694590562,1,1
2,1,0,1,34517109785,2694590562,0,1
3,0,0,1,34517109785,19874459746,0,1
2,1,0,1,34517142553,19874459746,0,1
3,0,0,1,34517142553,19874590818,0,1
2,1,0,1,38812109849,19874590818,0,1
3,0,0,1,38812109849,19874591074,0,1
2,1,-1,1,38879218713,19874591074,-1,1
2,0,0,0,0,0,0,0
3,1,0,0,1024,0,0,0
2,0,0,0,1024,256,0,0
3,1,0,0,66560,256,0,0
2,0,0,0,66560,8448,0,0
3,1,0,0,82944,8448,0,0
2,0,0,0,82944,41216,0,0
3,1,0,0,16860160,41216,0,0
2,0,1,1,16860160,1089792,1,1
3,1,0,0,16864256,1089792,0,0
2,0,1,1,16864256,4296057088,1,1
3,1,1,1,21058560,4296057088,1,1
2,0,1,1,21058560,4296057600,1,1
3,1,1,1,21058576,4296057600,1,1
2,0,1,1,21058576,21475926784,1,1
3,1,0,0,8610993168,21475926784,1,1
2,0,1,1,8610993168,21543035648,1,1
3,1,1,1,8611124240,21543035648,1,1
2,0,1,1,8611124240,21543035680,1,1
3,1,1,1,8611124304,21543035680,1,1
2,0,1,1,8611124304,22616777504,1,1
3,1,0,0,9147995216,22616777504,0,1
2,0,1,1,9147995216,22616777632,1,1
3,1,1,1,9156383824,22616777632,1,1
2,0,1,1,9156383824,22618874784,1,1
3,0,0,0,0,0,0,0
2,1,0,0,8192,0,0,0
3,0,0,0,8192,8388608,0,0
2,1,0,0,8589942784,8388608,0,0
3,0,0,0,8589942784,17188257792,0,0
